pdb,chain,name,L,resolution,n_pairs,split
1p3t,A,1p3t_A,199,2.10,628,train
4yto,A,4yto_A,95,2.00,220,test
1di7,A,1di7_A,185,1.60,586,train
2pcs,A,2pcs_A,152,2.40,477,train
4d63,A,4d63_A,138,2.20,406,train
3hil,A,3hil_A,63,2.00,181,train
2ouj,A,2ouj_A,204,1.90,685,train
5yzp,A,5yzp_A,195,1.58,603,train
6rym,A,6rym_A,122,1.46,390,train
2od5,A,2od5_A,91,1.79,241,train
2peq,A,2peq_A,109,1.90,300,train
5yfk,A,5yfk_A,211,1.80,730,train
1bfa,A,1bfa_A,116,2.20,355,train
3b2l,A,3b2l_A,126,2.25,373,train
7dg7,A,7dg7_A,86,1.60,270,train
1msb,A,1msb_A,115,2.30,366,train
4j10,A,4j10_A,88,1.44,225,train
7qyv,A,7qyv_A,103,2.25,315,train
2i6v,A,2i6v_A,87,1.63,250,train
5vog,A,5vog_A,176,1.50,516,train
5vyg,B,5vyg_B,43,2.20,97,train
5jfb,A,5jfb_A,104,2.00,322,train
8k8c,A,8k8c_A,60,2.06,140,train
7kyw,A,7kyw_A,131,2.30,419,train
3m7k,A,3m7k_A,142,1.92,441,test
3b81,A,3b81_A,183,2.10,564,train
1vqd,A,1vqd_A,86,1.82,198,train
3t7z,A,3t7z_A,119,1.70,370,train
8wc1,A,8wc1_A,151,1.30,490,train
2rff,A,2rff_A,111,1.40,337,train
7aht,A,7aht_A,65,2.16,156,val
2e2c,A,2e2c_A,156,2.00,465,val
1k9k,A,1k9k_A,89,1.76,242,train
7w3n,A,7w3n_A,90,1.60,234,train
4hll,A,4hll_A,154,2.20,536,train
4r8o,A,4r8o_A,98,2.50,251,train
2ra5,A,2ra5_A,150,2.40,437,train
2ojl,A,2ojl_A,79,2.10,231,train
9etd,A,9etd_A,123,2.30,326,val
3jrn,A,3jrn_A,151,2.00,479,train
6lh6,A,6lh6_A,71,1.40,144,val
1t4a,A,1t4a_A,80,2.00,198,train
1eb6,A,1eb6_A,177,1.00,618,train
6cff,A,6cff_A,168,2.40,517,train
3czc,A,3czc_A,93,2.02,264,train
7xwf,A,7xwf_A,73,1.45,194,train
4ep5,A,4ep5_A,157,2.08,517,test
4lhr,A,4lhr_A,134,1.50,364,train
6a07,A,6a07_A,170,1.50,500,test
3vy7,A,3vy7_A,138,2.14,476,val
6iie,A,6iie_A,87,2.14,253,val
1boq,A,1boq_A,198,2.10,699,train
7c4r,A,7c4r_A,54,2.44,141,train
6u83,A,6u83_A,154,2.36,446,train
6i50,A,6i50_A,157,1.69,483,test
1dg6,A,1dg6_A,149,1.30,450,train
1h3q,A,1h3q_A,140,2.40,424,train
4xo2,A,4xo2_A,60,1.95,132,train
7bae,A,7bae_A,57,1.20,165,train
9fw7,A,9fw7_A,199,2.00,674,train
1qrl,A,1qrl_A,214,1.85,692,train
2nto,A,2nto_A,201,2.10,636,train
3iwx,A,3iwx_A,67,2.14,201,train
2wra,A,2wra_A,122,1.10,366,train
7zhl,A,7zhl_A,113,2.20,330,train
1qqu,A,1qqu_A,223,1.63,759,train
1yea,A,1yea_A,112,1.90,324,train
3fkc,A,3fkc_A,113,1.70,311,train
1mi0,A,1mi0_A,61,1.85,144,train
7mju,A,7mju_A,184,2.10,541,train
1xnb,A,1xnb_A,185,1.49,645,train
2v0w,A,2v0w_A,146,1.70,459,test
1au3,A,1au3_A,215,2.50,747,train
4u9r,A,4u9r_A,147,2.17,413,test
3lx7,A,3lx7_A,143,1.78,421,train
2gu3,A,2gu3_A,128,1.74,402,val
3ame,A,3ame_A,66,2.30,190,train
4x1l,A,4x1l_A,127,2.16,413,train
6ek9,A,6ek9_A,121,1.50,409,train
4ybt,A,4ybt_A,178,1.82,510,test
5gw6,A,5gw6_A,182,1.97,597,train
3trg,A,3trg_A,95,1.60,281,train
3h34,A,3h34_A,70,1.60,137,val
5odj,A,5odj_A,179,1.50,551,train
8k4i,A,8k4i_A,163,1.48,499,train
1y9l,A,1y9l_A,110,1.50,305,train
1up9,A,1up9_A,107,1.35,226,train
4fo5,A,4fo5_A,136,2.02,417,train
7xnd,B,7xnd_B,169,1.60,510,val
6csl,A,6csl_A,71,1.92,201,train
8bjd,A,8bjd_A,208,2.40,588,train
1le4,A,1le4_A,139,2.50,446,train
1gbs,A,1gbs_A,185,1.50,655,val
1d06,A,1d06_A,130,1.40,364,val
5ydo,A,5ydo_A,209,2.00,659,test
4che,A,4che_A,161,1.80,522,train
1r5p,A,1r5p_A,90,2.20,278,train
5a4n,A,5a4n_A,68,1.96,164,train
4fxh,A,4fxh_A,88,2.40,228,train
3fzx,A,3fzx_A,212,2.22,712,train
1erw,A,1erw_A,105,1.80,323,train
2wm8,A,2wm8_A,170,1.75,550,train
1jko,C,1jko_C,46,2.24,104,train
2hwx,A,2hwx_A,165,1.90,477,train
1s35,A,1s35_A,211,2.40,670,val
4ttp,A,4ttp_A,201,2.20,621,train
4y9i,A,4y9i_A,114,1.50,327,train
3tg8,A,3tg8_A,214,1.95,681,train
7qf7,A,7qf7_A,129,1.47,372,val
1uzp,A,1uzp_A,152,1.78,467,train
2c0n,A,2c0n_A,191,1.86,622,train
8hjj,A,8hjj_A,71,2.40,183,val
1k53,A,1k53_A,72,2.10,187,train
8a9w,A,8a9w_A,75,1.90,217,train
3tl4,X,3tl4_X,186,2.30,548,train
5zrg,A,5zrg_A,126,1.30,406,train
5tf3,A,5tf3_A,131,2.00,422,train
6ndw,B,6ndw_B,177,1.73,572,train
4pmr,A,4pmr_A,202,1.81,696,test
5ug6,A,5ug6_A,123,2.00,380,train
3rdj,A,3rdj_A,137,1.90,435,train
3n4j,A,3n4j_A,161,1.47,483,train
5ckh,A,5ckh_A,103,2.45,312,test
8t8l,A,8t8l_A,183,1.90,551,train
8jyv,A,8jyv_A,241,1.86,735,train
1y6x,A,1y6x_A,87,1.25,232,test
5h9h,A,5h9h_A,74,2.50,213,train
3toe,A,3toe_A,86,2.20,256,train
1pf5,A,1pf5_A,130,2.50,370,train
8h43,A,8h43_A,60,2.30,146,train
7vur,A,7vur_A,65,1.70,171,train
5ytv,A,5ytv_A,75,1.70,209,train
3zzo,A,3zzo_A,93,1.15,262,train
7b7j,A,7b7j_A,91,1.66,245,train
9c8z,A,9c8z_A,60,1.41,171,train
4xu6,A,4xu6_A,189,1.90,632,val
3f3x,A,3f3x_A,140,1.90,408,test
1g8e,A,1g8e_A,98,1.80,226,train
6ahx,A,6ahx_A,60,2.00,148,train
9m85,A,9m85_A,190,1.83,653,train
4a4y,A,4a4y_A,128,1.57,297,val
3hzp,A,3hzp_A,128,1.40,382,train
1b4b,A,1b4b_A,71,2.20,210,train
4ryq,A,4ryq_A,151,1.70,519,train
1wna,A,1wna_A,127,1.58,402,train
4raj,A,4raj_A,216,1.84,730,train
3erf,A,3erf_A,208,2.23,703,train
1wkx,A,1wkx_A,43,1.70,121,train
3kng,A,3kng_A,98,1.90,263,train
1ab5,A,1ab5_A,125,2.40,400,train
6umv,A,6umv_A,116,1.42,328,test
3wvt,A,3wvt_A,102,1.60,277,train
27af,A,27af_A,179,1.52,610,train
3gsh,A,3gsh_A,91,1.80,258,test
8ah9,A,8ah9_A,115,1.75,346,val
4okc,A,4okc_A,107,2.25,252,train
1i6a,A,1i6a_A,212,2.30,670,test
7skp,A,7skp_A,70,2.50,178,train
3rgq,A,3rgq_A,156,2.05,541,train
8phn,A,8phn_A,124,1.90,382,train
1q9s,A,1q9s_A,149,2.42,453,train
4j9j,A,4j9j_A,227,2.30,766,train
5ng4,A,5ng4_A,54,2.14,111,val
4qmj,A,4qmj_A,229,2.50,767,train
2hiq,A,2hiq_A,96,2.00,263,test
3iid,A,3iid_A,185,1.90,614,train
8z3j,A,8z3j_A,132,1.52,433,train
6i05,A,6i05_A,76,1.21,212,train
7soq,A,7soq_A,90,1.15,268,test
4es3,A,4es3_A,84,1.70,222,train
6btg,A,6btg_A,207,1.70,728,train
8vfo,A,8vfo_A,115,1.35,324,train
1sra,A,1sra_A,151,2.00,462,train
3tps,A,3tps_A,113,1.85,301,train
2gbz,A,2gbz_A,179,2.30,581,train
8p0z,A,8p0z_A,157,1.88,501,train
2opa,A,2opa_A,61,2.40,132,train
2eff,A,2eff_A,106,1.80,329,train
5x3d,A,5x3d_A,126,1.93,381,train
5h48,A,5h48_A,136,2.20,426,train
2obp,A,2obp_A,81,1.70,229,train
1kdi,A,1kdi_A,102,1.80,287,train
9cte,A,9cte_A,110,2.26,321,train
3h8h,A,3h8h_A,92,2.00,258,train
3fdr,A,3fdr_A,89,1.75,247,train
6lvu,A,6lvu_A,78,2.29,239,test
3uk3,C,3uk3_C,52,2.10,119,train
7x4d,A,7x4d_A,37,1.55,96,train
9ms6,A,9ms6_A,188,2.15,628,train
3gk5,A,3gk5_A,100,2.40,299,train
9f9u,A,9f9u_A,170,1.68,524,train
3rsn,A,3rsn_A,165,2.10,472,train
1qb2,A,1qb2_A,107,2.10,274,train
8af1,A,8af1_A,179,1.57,635,train
3dt5,A,3dt5_A,119,1.94,371,train
5nfd,A,5nfd_A,75,2.18,202,train
4ohb,A,4ohb_A,159,2.40,512,train
3d00,A,3d00_A,184,1.90,547,train
7s42,A,7s42_A,145,1.35,439,test
4oie,A,4oie_A,177,1.85,576,train
8b2m,A,8b2m_A,96,1.70,246,train
3cp5,A,3cp5_A,116,1.24,351,train
7ju2,A,7ju2_A,77,1.85,223,train
6lxq,A,6lxq_A,183,1.85,606,train
2ch9,A,2ch9_A,126,2.10,324,train
1upq,A,1upq_A,107,1.48,308,test
4uno,A,4uno_A,95,1.95,280,train
1b6w,A,1b6w_A,68,2.05,158,train
5k34,A,5k34_A,113,1.15,342,train
1kex,A,1kex_A,155,1.90,533,test
1rym,A,1rym_A,185,1.80,615,train
2ew1,A,2ew1_A,171,2.00,542,train
2c05,A,2c05_A,135,1.86,427,val
1b9w,A,1b9w_A,91,1.80,252,test
7kh3,A,7kh3_A,140,1.50,397,train
7vjs,A,7vjs_A,206,1.79,643,train
4kow,A,4kow_A,159,1.45,506,train
7wzc,A,7wzc_A,184,1.80,574,train
4b6m,A,4b6m_A,80,1.59,231,val
3kg4,A,3kg4_A,184,1.95,552,train
6vi8,A,6vi8_A,176,1.95,526,train
3jz9,A,3jz9_A,197,1.80,642,val
1py9,A,1py9_A,116,1.80,364,train
4uos,A,4uos_A,188,1.63,579,train
2w7v,A,2w7v_A,82,2.30,246,train
2xfd,A,2xfd_A,109,1.19,364,train
5apw,A,5apw_A,67,1.60,132,val
7e9v,A,7e9v_A,192,2.10,592,train
2i9x,A,2i9x_A,86,1.80,227,train
1f97,A,1f97_A,207,2.50,626,train
5of2,A,5of2_A,191,1.86,570,train
1cmb,A,1cmb_A,104,1.80,254,val
6rp3,A,6rp3_A,160,1.81,488,train
1t4o,A,1t4o_A,81,2.50,246,val
8pab,AA,8pab_AA,148,1.80,437,test
3mxu,A,3mxu_A,134,1.80,419,train
3sul,A,3sul_A,121,1.63,409,train
3h8n,A,3h8n_A,195,2.50,612,val
5fnw,A,5fnw_A,185,2.45,580,train
4kfv,A,4kfv_A,199,2.20,608,train
6ez7,A,6ez7_A,82,1.90,239,test
1ocs,A,1ocs_A,132,2.03,382,train
3wo6,A,3wo6_A,212,2.40,622,test
6ucl,A,6ucl_A,60,2.21,140,train
2ic6,A,2ic6_A,71,1.15,197,test
5e0y,A,5e0y_A,68,2.00,203,train
4low,A,4low_A,84,1.30,240,val
5dvh,A,5dvh_A,185,1.80,591,train
4go7,X,4go7_X,165,2.00,533,train
5fie,A,5fie_A,142,2.00,391,train
3u3b,A,3u3b_A,104,1.85,307,train
1utx,A,1utx_A,66,1.90,181,train
7csn,A,7csn_A,196,1.00,693,train
6z2g,A,6z2g_A,89,1.95,259,train
2j5y,A,2j5y_A,61,1.40,161,val
2gom,A,2gom_A,61,1.25,175,train
1pi2,A,1pi2_A,61,2.50,140,train
3jwg,A,3jwg_A,195,1.90,626,train
4ps2,A,4ps2_A,79,2.00,201,train
3wmq,A,3wmq_A,94,1.60,260,train
3f3q,A,3f3q_A,109,1.76,326,val
2oh3,A,2oh3_A,149,2.00,456,train
1f9p,A,1f9p_A,81,1.93,163,train
9rpp,A,9rpp_A,71,2.18,166,train
7txo,A,7txo_A,102,2.50,300,train
2p08,A,2p08_A,107,2.00,315,test
1eyt,A,1eyt_A,83,1.50,219,train
5lzn,A,5lzn_A,111,1.40,336,train
7dtj,A,7dtj_A,173,2.40,507,train
9ovi,A,9ovi_A,67,1.50,177,train
5eys,A,5eys_A,148,1.75,458,train
8rdd,B,8rdd_B,164,1.80,511,test
1ewp,A,1ewp_A,215,1.75,738,train
8rpo,A,8rpo_A,147,1.79,467,train
6u9z,A,6u9z_A,82,1.95,248,train
1bk7,A,1bk7_A,190,1.75,632,train
3l1e,A,3l1e_A,105,1.15,228,train
5bv6,A,5bv6_A,150,1.94,480,train
6rjx,A,6rjx_A,157,2.35,479,train
7y62,A,7y62_A,74,2.00,159,train
2ce1,A,2ce1_A,100,1.40,300,train
4tx4,B,4tx4_B,79,1.95,160,train
2qpw,A,2qpw_A,147,1.79,403,train
3cdy,A,3cdy_A,108,2.43,351,train
6fc5,A,6fc5_A,84,1.88,255,train
4h8m,A,4h8m_A,31,1.43,60,val
6l5a,A,6l5a_A,208,1.80,660,train
5tpk,A,5tpk_A,202,2.00,593,train
3s0r,A,3s0r_A,30,2.45,63,train
2od4,A,2od4_A,101,1.70,281,train
7z8a,AAA,7z8a_AAA,115,2.06,324,test
9cum,A,9cum_A,58,1.15,161,test
1oqq,A,1oqq_A,106,1.47,328,test
1bxy,A,1bxy_A,60,1.90,161,train
8i1m,A,8i1m_A,193,1.70,623,train
8yk7,A,8yk7_A,80,1.35,219,val
4lpb,A,4lpb_A,193,1.75,648,train
9lni,A,9lni_A,212,1.61,734,train
7w86,A,7w86_A,117,1.80,334,train
8xkt,A,8xkt_A,93,2.50,304,train
7vy4,A,7vy4_A,224,2.22,776,train
3dt6,A,3dt6_A,212,2.10,701,train
1a1j,A,1a1j_A,84,2.00,183,train
5ckg,A,5ckg_A,100,1.75,294,train
2q3h,A,2q3h_A,171,1.73,558,train
2ets,A,2ets_A,115,2.25,373,test
5ks2,A,5ks2_A,209,2.18,658,train
5dfg,A,5dfg_A,116,1.97,314,train
5mpi,A,5mpi_A,205,2.35,593,train
2npo,A,2npo_A,193,2.20,603,val
3pmd,A,3pmd_A,153,1.76,466,train
4wb4,A,4wb4_A,41,2.03,81,val
2oy9,A,2oy9_A,85,1.60,241,train
9c7o,A,9c7o_A,79,2.29,214,train
3njl,A,3njl_A,119,1.75,322,train
7f2g,A,7f2g_A,213,1.90,643,train
4h7r,A,4h7r_A,33,1.33,61,train
4kmf,A,4kmf_A,62,1.70,181,train
1qad,A,1qad_A,104,1.80,315,val
7as6,A,7as6_A,131,2.00,402,train
7upz,A,7upz_A,64,2.49,140,train
1k95,A,1k95_A,161,1.90,485,train
3goe,A,3goe_A,80,0.97,211,train
7qwc,C,7qwc_C,30,1.69,56,train
7sta,A,7sta_A,64,2.50,159,train
9ejy,A,9ejy_A,127,1.90,385,train
2wq0,A,2wq0_A,31,1.12,58,val
8pw4,A,8pw4_A,83,2.30,193,val
1b4t,A,1b4t_A,153,1.80,515,train
2cro,A,2cro_A,65,2.35,191,train
3bt5,A,3bt5_A,151,1.35,531,train
1fbs,A,1fbs_A,88,2.00,244,train
4grf,A,4grf_A,140,1.76,455,train
8x2q,A,8x2q_A,109,2.00,290,train
9dbc,A,9dbc_A,109,2.30,332,train
5hub,A,5hub_A,79,1.06,189,train
1mz4,A,1mz4_A,131,1.80,403,val
2a4v,A,2a4v_A,156,1.80,546,train
5oeh,A,5oeh_A,230,2.35,691,train
1m4a,A,1m4a_A,114,2.18,361,train
6o8k,A,6o8k_A,93,2.12,267,train
1l8d,A,1l8d_A,103,2.20,289,train
2vy9,A,2vy9_A,115,2.30,331,train
3il8,A,3il8_A,68,2.00,171,val
5kjy,A,5kjy_A,140,2.00,447,train
4pe1,A,4pe1_A,89,1.58,250,train
1pgv,A,1pgv_A,167,1.80,554,train
3vmz,A,3vmz_A,48,1.55,106,val
2ill,A,2ill_A,195,2.20,589,train
1ezg,A,1ezg_A,82,1.40,269,train
5jog,A,5jog_A,221,2.46,638,train
6j5y,A,6j5y_A,233,1.98,769,train
3byp,A,3byp_A,82,1.70,225,test
1fw1,A,1fw1_A,208,1.90,698,train
5h20,A,5h20_A,103,2.50,267,val
9jp6,A,9jp6_A,74,2.30,200,train
7txp,A,7txp_A,209,1.45,713,val
6miu,A,6miu_A,57,1.90,136,train
2mcm,A,2mcm_A,112,1.50,325,train
3zit,A,3zit_A,74,1.18,207,train
8gl3,A,8gl3_A,189,2.30,630,train
9fcd,A,9fcd_A,213,1.50,705,train
1mkk,A,1mkk_A,93,1.32,239,val
1fel,A,1fel_A,175,1.80,522,train
1uxo,A,1uxo_A,186,1.80,617,train
7plp,A,7plp_A,42,1.40,101,train
1wc2,A,1wc2_A,180,1.20,614,test
1uj8,A,1uj8_A,73,1.75,197,train
6ta9,A,6ta9_A,182,1.36,627,train
2bhk,A,2bhk_A,105,2.40,286,train
6j44,A,6j44_A,126,2.06,358,test
5m31,A,5m31_A,151,1.67,493,train
2nq3,A,2nq3_A,131,1.80,402,val
7oc9,A,7oc9_A,133,1.50,389,train
4htj,A,4htj_A,89,2.01,259,val
1wk2,A,1wk2_A,84,2.50,222,train
2c2c,A,2c2c_A,112,2.00,325,train
8bjp,AAA,8bjp_AAA,109,2.10,303,val
3ric,A,3ric_A,207,2.10,649,train
3lnq,A,3lnq_A,58,2.25,154,train
8boj,A,8boj_A,96,1.50,269,train
2et7,A,2et7_A,201,1.70,569,train
2e4q,A,2e4q_A,108,1.80,331,test
2ogq,A,2ogq_A,211,1.95,709,train
2zxy,A,2zxy_A,86,1.15,239,train
2ofy,A,2ofy_A,82,1.70,213,train
4l9e,A,4l9e_A,115,1.65,358,train
2cl3,A,2cl3_A,202,1.90,579,train
4iqc,A,4iqc_A,107,1.90,339,train
4ggj,A,4ggj_A,165,1.75,532,train
5x2e,A,5x2e_A,80,1.30,236,train
2r1q,A,2r1q_A,78,2.50,252,test
6w46,A,6w46_A,31,1.25,1,val
4ess,A,4ess_A,158,2.00,499,test
3jrz,A,3jrz_A,99,1.70,290,train
1d0q,A,1d0q_A,102,1.71,299,train
3ray,A,3ray_A,159,1.73,481,train
5a9c,A,5a9c_A,203,1.71,638,train
5dhe,A,5dhe_A,100,1.60,308,train
4eaa,A,4eaa_A,210,1.45,709,train
3dfg,A,3dfg_A,142,1.50,441,train
7dus,A,7dus_A,133,2.50,361,train
4oxp,A,4oxp_A,200,2.10,603,test
3lfo,A,3lfo_A,101,1.80,325,val
3dju,B,3dju_B,121,2.26,379,train
7l9c,A,7l9c_A,127,1.85,370,train
6t7o,A,6t7o_A,59,1.60,143,val
1s30,A,1s30_A,190,2.05,597,train
1u9u,A,1u9u_A,82,1.86,221,train
4nc7,A,4nc7_A,79,2.00,179,train
3hfn,A,3hfn_A,60,2.31,163,train
1vjw,A,1vjw_A,59,1.75,151,test
4ls4,A,4ls4_A,90,1.66,250,train
4tno,A,4tno_A,84,2.14,219,train
5h1n,A,5h1n_A,70,1.47,152,train
7csx,A,7csx_A,169,2.50,510,train
2p0d,A,2p0d_A,107,1.81,329,train
2eif,A,2eif_A,133,1.80,378,val
1ov9,A,1ov9_A,45,2.30,92,train
6jnl,A,6jnl_A,89,2.15,209,test
6o0p,A,6o0p_A,141,1.80,461,train
7f8l,A,7f8l_A,104,1.76,247,train
4q2l,A,4q2l_A,64,1.07,172,train
1zma,A,1zma_A,118,1.25,374,val
1kr7,A,1kr7_A,110,1.50,311,train
5mg9,A,5mg9_A,65,1.80,169,train
2qvo,A,2qvo_A,87,1.85,253,train
1m1h,A,1m1h_A,182,1.95,550,test
7zg6,A,7zg6_A,53,1.95,107,val
2jac,A,2jac_A,108,2.02,331,train
2fdr,A,2fdr_A,222,2.00,747,train
4qpo,A,4qpo_A,53,2.00,101,train
3q1d,A,3q1d_A,47,2.15,119,test
6hj6,A,6hj6_A,159,1.98,493,train
6xwh,C,6xwh_C,80,2.10,217,train
9gii,A,9gii_A,116,1.70,321,train
3dlr,A,3dlr_A,155,2.20,499,train
6ovs,A,6ovs_A,34,1.80,71,train
2bvz,A,2bvz_A,98,2.20,280,train
2gkp,A,2gkp_A,164,1.35,536,train
2w0i,A,2w0i_A,135,1.80,423,train
6jie,B,6jie_B,77,1.75,208,val
9tzg,A,9tzg_A,118,1.55,403,train
1z07,A,1z07_A,165,1.81,516,test
5nkx,A,5nkx_A,111,2.00,310,train
1n7e,A,1n7e_A,95,1.50,245,test
2okm,A,2okm_A,146,1.65,460,test
4e72,A,4e72_A,218,2.15,662,train
5w5b,A,5w5b_A,224,1.80,728,train
2oj4,A,2oj4_A,127,2.30,413,train
3clj,A,3clj_A,146,2.10,491,test
6h7a,A,6h7a_A,80,2.03,225,train
6t1o,A,6t1o_A,141,1.90,410,train
7ars,A,7ars_A,35,1.15,83,train
8rdl,A,8rdl_A,206,2.10,641,train
1tuw,A,1tuw_A,106,1.90,255,train
1hjj,A,1hjj_A,188,1.65,601,train
2d4p,A,2d4p_A,130,1.70,368,train
2qif,A,2qif_A,69,1.50,198,train
2a15,A,2a15_A,133,1.68,400,train
2j1l,A,2j1l_A,157,2.50,474,test
2akf,A,2akf_A,32,1.20,70,train
4ipt,A,4ipt_A,218,1.55,719,test
3ngg,A,3ngg_A,46,1.33,112,train
1f32,A,1f32_A,127,1.75,368,train
2ymy,A,2ymy_A,40,1.69,96,train
3r3q,A,3r3q_A,153,1.45,426,train
1lsv,A,1lsv_A,117,2.40,340,train
1n5t,A,1n5t_A,112,1.90,297,train
9h0a,A,9h0a_A,185,2.10,557,train
2nmu,A,2nmu_A,137,1.80,415,train
1r6y,A,1r6y_A,103,2.20,284,train
2ril,A,2ril_A,95,1.26,246,val
3umf,A,3umf_A,188,2.05,561,train
4pno,A,4pno_A,64,0.97,181,train
5zn9,A,5zn9_A,99,1.78,289,train
7vr6,A,7vr6_A,185,2.50,575,train
8a59,A,8a59_A,221,1.92,685,train
9p0d,A,9p0d_A,156,1.50,524,train
3wjv,A,3wjv_A,176,2.40,565,train
3e9u,A,3e9u_A,162,2.50,486,train
4lpy,A,4lpy_A,97,1.92,191,train
2atz,A,2atz_A,176,2.00,529,train
8j40,A,8j40_A,209,1.57,629,val
1jgg,A,1jgg_A,57,2.00,149,train
9i9m,AAA,9i9m_AAA,165,1.54,505,test
7fbw,A,7fbw_A,186,1.90,655,train
5oc5,A,5oc5_A,93,1.89,257,train
2es9,A,2es9_A,100,2.00,291,train
1y2f,A,1y2f_A,139,2.00,442,train
5oi7,A,5oi7_A,88,1.67,187,train
5fgp,A,5fgp_A,144,2.00,426,train
2hxm,A,2hxm_A,223,1.30,758,train
3up9,A,3up9_A,239,2.35,804,train
4etu,A,4etu_A,183,2.19,549,train
3fyq,A,3fyq_A,179,1.95,591,train
3asd,A,3asd_A,137,2.45,456,train
2fsr,A,2fsr_A,171,1.52,529,train
8u2f,A,8u2f_A,137,2.00,411,val
8sdw,A,8sdw_A,170,1.75,533,train
4z5d,A,4z5d_A,71,2.15,184,train
1yrv,A,1yrv_A,153,2.18,458,train
3evp,A,3evp_A,224,1.45,771,train
6cdx,A,6cdx_A,37,1.00,84,train
9txq,A,9txq_A,100,1.10,289,train
7jub,A,7jub_A,122,1.20,390,train
2ooc,A,2ooc_A,104,1.52,323,val
4f55,A,4f55_A,128,1.85,382,train
5xbn,A,5xbn_A,128,1.76,397,train
4le1,A,4le1_A,132,1.95,395,train
1s7z,A,1s7z_A,106,1.83,301,train
3gw2,A,3gw2_A,93,2.10,271,train
8ckr,A,8ckr_A,136,1.30,434,train
3k6d,A,3k6d_A,99,1.80,285,train
7pdc,A,7pdc_A,30,1.83,60,train
2anr,A,2anr_A,155,1.94,473,train
5e1x,A,5e1x_A,168,1.46,455,train
2hpj,A,2hpj_A,99,1.70,308,train
5wxx,A,5wxx_A,227,2.35,763,test
6s7e,A,6s7e_A,222,1.82,677,train
7dkl,A,7dkl_A,215,1.50,680,train
4p7u,A,4p7u_A,102,1.50,306,test
1dcf,A,1dcf_A,133,2.50,401,train
3nnc,A,3nnc_A,175,2.20,521,train
2g3a,A,2g3a_A,137,1.90,344,train
4lqd,A,4lqd_A,125,2.45,365,train
8jwd,A,8jwd_A,123,1.33,394,train
2aan,A,2aan_A,123,1.85,398,val
7bk7,AAA,7bk7_AAA,95,2.30,273,train
3l8f,A,3l8f_A,183,1.79,617,val
3o15,A,3o15_A,219,1.95,732,train
7sq3,A,7sq3_A,146,2.45,422,train
5njn,A,5njn_A,120,1.60,373,train
4ibn,A,4ibn_A,211,1.62,640,train
2cwp,A,2cwp_A,109,2.10,301,train
3rn4,A,3rn4_A,205,1.79,697,train
1hxr,A,1hxr_A,107,1.65,344,train
7kpi,A,7kpi_A,140,1.70,455,train
3c19,A,3c19_A,177,2.50,505,train
1xd6,A,1xd6_A,110,2.00,349,train
2z3x,A,2z3x_A,56,2.10,128,val
7b2d,A,7b2d_A,156,1.96,481,test
1sau,A,1sau_A,114,1.12,378,train
7njh,A,7njh_A,147,2.50,422,val
4gqw,A,4gqw_A,132,2.20,379,train
6zsy,A,6zsy_A,48,0.93,118,train
3gyw,A,3gyw_A,180,2.40,553,val
4wbr,D,4wbr_D,157,1.40,501,train
2hxs,A,2hxs_A,178,1.10,564,train
4oxw,A,4oxw_A,106,1.73,319,train
6wi5,A,6wi5_A,90,1.83,251,test
5awe,A,5awe_A,205,2.45,626,train
3f42,A,3f42_A,93,1.78,259,train
4j8p,A,4j8p_A,156,1.50,481,train
4pz1,A,4pz1_A,97,1.73,211,train
3txy,A,3txy_A,190,1.70,606,train
4cjd,A,4cjd_A,123,2.06,293,train
1dah,A,1dah_A,224,1.64,723,train
2fwv,A,2fwv_A,190,1.70,564,train
1x9g,A,1x9g_A,192,2.41,643,train
1hy5,A,1hy5_A,120,2.25,404,val
8oyk,A,8oyk_A,32,1.90,60,train
9x1w,A,9x1w_A,88,1.46,256,train
2ugi,A,2ugi_A,83,2.20,229,train
3qoo,A,3qoo_A,135,1.25,408,train
1ws1,A,1ws1_A,151,2.00,502,train
4v2a,A,4v2a_A,248,2.40,677,train
8x0z,A,8x0z_A,216,2.10,765,train
2wux,A,2wux_A,213,1.84,588,train
3bz6,A,3bz6_A,168,2.21,520,train
1fzv,A,1fzv_A,100,2.00,238,train
2v6h,A,2v6h_A,104,1.55,296,train
2pa1,A,2pa1_A,87,1.70,256,train
1dst,A,1dst_A,228,2.00,774,train
6ewy,A,6ewy_A,201,2.20,556,train
4mbb,A,4mbb_A,184,1.85,607,train
7yw4,A,7yw4_A,120,2.18,353,train
8jfs,A,8jfs_A,87,1.00,273,test
3rkv,A,3rkv_A,147,2.41,466,train
3b6n,A,3b6n_A,150,2.26,513,train
2f9l,A,2f9l_A,173,1.55,576,train
1pbj,A,1pbj_A,120,1.40,367,train
7r85,A,7r85_A,44,1.45,109,train
6x20,A,6x20_A,93,1.40,254,test
7jny,A,7jny_A,80,1.88,189,train
2o9g,A,2o9g_A,233,1.90,846,test
6iqe,A,6iqe_A,59,1.70,128,test
1vg1,A,1vg1_A,166,1.90,536,train
4irg,A,4irg_A,98,1.70,285,train
1dbu,A,1dbu_A,152,1.80,475,train
1z96,A,1z96_A,38,1.80,99,train
7rfd,A,7rfd_A,170,1.35,564,train
9ncz,A,9ncz_A,214,1.97,710,train
5keg,A,5keg_A,187,2.20,564,val
1mog,A,1mog_A,67,1.70,184,train
5w87,A,5w87_A,98,2.20,204,train
9jh2,A,9jh2_A,162,2.30,472,train
